2024-06-05 00:03:21 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-06-05 00:03:33 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-06-05 00:03:33 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-06-05 00:03:34 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-06-05 00:03:34 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-06-05 00:03:35 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2715c3a7
2024-06-05 00:03:35 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-06-05 00:03:35 WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.5.5 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2024-06-05 00:03:38 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-06-05 00:03:39 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-06-05 00:03:41 INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
2024-06-05 00:03:41 WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
2024-06-05 00:03:41 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-06-05 00:03:43 INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2024-06-05 00:03:44 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1ac01c37, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55b0f61a, org.springframework.security.web.context.SecurityContextHolderFilter@6db11cb, org.springframework.security.web.header.HeaderWriterFilter@4c506618, org.springframework.web.filter.CorsFilter@5ea0e35f, org.springframework.security.web.authentication.logout.LogoutFilter@a17f145, com.user.userservice.security.AuthTokenFilter@19bc1f5e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1939947, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6741288b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@300d1dfc, org.springframework.security.web.session.SessionManagementFilter@695c94, org.springframework.security.web.access.ExceptionTranslationFilter@28e0003b, org.springframework.security.web.access.intercept.AuthorizationFilter@3dbc0292]
2024-06-05 00:03:45 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-05 00:03:45 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-05 00:03:45 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2024-06-05 00:03:45 WARN  o.s.b.d.a.OptionalLiveReloadServer - Unable to start LiveReload server
2024-06-05 00:03:46 INFO  o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestTemplate.
2024-06-05 00:03:46 WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-06-05 00:03:47 INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2024-06-05 00:03:47 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2024-06-05 00:03:47 INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2024-06-05 00:03:49 INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1717535029357 with initial instances count: 0
2024-06-05 00:03:49 INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application USERSERVICE with eureka with status UP
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1717535029392, current=UP, previous=STARTING]
2024-06-05 00:03:49 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8300"]
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USERSERVICE/LAPTOP-9Q5SOEP1:userservice:8300: registering service...
2024-06-05 00:03:49 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8300 (http) with context path '/'
2024-06-05 00:03:49 INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8300
2024-06-05 00:03:49 INFO  c.u.u.UserserviceApplication - Started UserserviceApplication in 33.664 seconds (process running for 36.334)
2024-06-05 00:03:49 INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_USERSERVICE/LAPTOP-9Q5SOEP1:userservice:8300 - registration status: 204
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2024-06-05 00:04:19 INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2024-06-05 00:08:47 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:13:47 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:18:47 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:23:47 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:28:48 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:33:48 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:38:48 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:43:48 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2024-06-05 00:48:48 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
